Species	Common name	Class	Date	Total_correlation	Total_pvalue	Mapped_correlation	Mapped_pvalue	Number_samples	Number_reads	Category	Raw_correlation	Raw_pvalue	dates_raw	boot_min	boot_mean	boot_max	Total_padj	Mapped_padj	Raw_padj
Hystrix brachyura	Malayan porcupine	Mammalia	12-Jan-2020	0.4583777664982307	6.595732967428024e-05	0.4724115516241939	3.642021338781785e-05	10	5419	Observed Xiao 2021	0.4703147414867811	3.986549644139821e-05	[datetime.datetime(2020, 1, 12, 0, 0)]	0.4347108055178577	0.49732453902432605	0.6197379121238019	0.0012531892638113248	0.0006919840543685393	0.000757444432386566
Marmota himalayana	Himalayan marmot	Mammalia	12-Jan-2020	0.34448794323990106	0.0034975070790018103	0.34556278861662465	0.003389991991007309	4	9067	Observed Xiao 2021	0.34751434376862284	0.0032022775320498225	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.016750073167223156	0.30149955570110976	0.6248100463565536	0.0332263172505172	0.03220492391456944	0.030421636554473316
Erinaceus amurensis	Amur hedgehog	Mammalia	12-Jan-2020	0.3067638601086702	0.00979572630552274	0.24320758461577224	0.04248335294957853	27	6948	Observed Xiao 2021	0.3035010286897186	0.01064615734215042	[datetime.datetime(2020, 1, 12, 0, 0)]	0.3650368866247451	0.4199498457591136	0.4790586236052699	0.06203959993497736	0.2690612353473307	0.06742566316695267
Canis lupus	dog	Mammalia	12-Jan-2020	0.24257507530473424	0.04304077203342196	0.22494532222648234	0.0611772273484884	45	20485	Other	0.252937125466522	0.034634664768977134	[datetime.datetime(2020, 1, 12, 0, 0)]	0.018476449735141367	0.13944112978209594	0.26664320104205	0.2044436671587543	0.2905918299053199	0.1645146576526414
Homo sapiens	human	Mammalia	12-Jan-2020	0.1397390864729695	0.24859805388073908	0.08653283872357356	0.4762867443172609	52	20487	Human	0.17715945496418994	0.14233067111772899	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.07354114992065527	0.060163091914606226	0.15783672428905493	0.5211630611432249	0.6032965428018638	0.45071379187280847
Vulpes vulpes	red fox	Mammalia	12-Jan-2020	-0.12434999478701517	0.30506070823006265	-0.12434999478701517	0.30506070823006265	10	525	Observed Xiao 2021	-0.12436216196928543	0.3050130185478521	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.1370618942599935	-0.11961027663127774	-0.10068718496591905	0.5211630611432249	0.6032965428018638	0.4987357212419754
Myocastor coypus	nutria	Mammalia	12-Jan-2020	-0.10174503390622024	0.4019686300738904	-0.10174503390622024	0.4019686300738904	7	548	Observed Xiao 2021	-0.10175258539870892	0.4019335158063231	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.13520984834835817	-0.1051592131065392	-0.08251113947845631	0.5211630611432249	0.6032965428018638	0.5091157866880093
Muntiacus reevesi	Reeves' muntjac	Mammalia	12-Jan-2020	0.1544131701275872	0.20184169419509282	0.13787132313016387	0.2550412085734926	20	1326	Observed Xiao 2021	0.16586037270091225	0.16999288678897995	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.10823855244690883	0.0928474145178311	0.17410060988158	0.5211630611432249	0.6032965428018638	0.4589428607528998
Vulpes lagopus	Arctic fox	Mammalia	12-Jan-2020	-0.10957761807438737	0.3665216924799036	-0.10957761807438737	0.3665216924799036	8	357	Observed Xiao 2021	-0.10958889210737455	0.36647208659225194	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.1629016113266425	-0.11964314679445484	-0.08572127312571569	0.5211630611432249	0.6032965428018638	0.4987357212419754
Felis catus	domestic cat	Mammalia	12-Jan-2020	-0.13140086396352085	0.278234880882895	-0.13140086396352085	0.278234880882895	11	2992	Other	-0.1314106165047421	0.2781988991827425	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.16314432551314303	-0.14751822492912053	-0.13881633494580403	0.5211630611432249	0.6032965428018638	0.4987357212419754
Rhizomys pruinosus	hoary bamboo rat	Mammalia	12-Jan-2020	0.09972111606924487	0.41144452195517756	0.057161699350950515	0.6383389357310818	47	9995	Observed Xiao 2021	0.14179798420536407	0.24162555417338438	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.009831137748124448	0.14217095585213893	0.2873939525011678	0.5211630611432249	0.6738022099383641	0.4987357212419754
Ovis orientalis	sheep	Mammalia	12-Jan-2020	0.13731674701642393	0.2569759728624649	0.11240177800515896	0.35422352262604373	11	247	Other	0.15736856822123216	0.19323909926437885	[datetime.datetime(2020, 1, 12, 0, 0)]	0.010597606439197632	0.1622876082012428	0.2647400368000022	0.5211630611432249	0.6032965428018638	0.4589428607528998
Sus scrofa	wild boar	Mammalia	12-Jan-2020	-0.12298022814579072	0.3104604804171777	-0.09190140202601445	0.44925297670217146	22	7138	Observed Xiao 2021	-0.11085003465874607	0.3609489086021167	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.2825771604056154	-0.1017382618030108	0.06404618994593729	0.5211630611432249	0.6032965428018638	0.4987357212419754
Oryctolagus cuniculus	rabbit	Mammalia	12-Jan-2020	0.14910577295519628	0.21796907282883954	0.13016208435715332	0.2828305092383942	38	18029	Other	0.19290268445907446	0.10961045633667656	[datetime.datetime(2020, 1, 12, 0, 0)]	0.07359040628579447	0.14262140225414682	0.17794599462122096	0.5211630611432249	0.6032965428018638	0.41651973407937093
Paguma larvata	masked palm civet	Mammalia	12-Jan-2020	0.10934973717154055	0.36752524889393434	0.10934973717154055	0.36752524889393434	5	498	Observed Xiao 2021	0.10935785308331716	0.3674894788098766	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.04104600259496323	0.20775311163012203	0.38849140052781334	0.5211630611432249	0.6032965428018638	0.4987357212419754
Arctonyx collaris	greater hog badger	Mammalia	12-Jan-2020	-0.07516781367401248	0.5362779599734248	-0.09346138455255532	0.44156030185479167	18	1442	Observed Xiao 2021	-0.05383409766331475	0.658040855589957	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.15025775263523772	-0.0789247629126661	-0.031069333593386872	0.6368300774684419	0.6032965428018638	0.6945986809005101
Rattus tanezumi	Asian house rat	Mammalia	12-Jan-2020	0.06584639734510223	0.5881083656245657	0.06319740434846019	0.60323993542282	25	5215	Other	0.07601013303782786	0.5317075802742216	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.011640837610766782	0.11442837585148909	0.3122938537316092	0.6572975851098087	0.6738022099383641	0.6314027515756382
Lepus sinensis	Chinese hare	Mammalia	12-Jan-2020	0.04723322996253832	0.697806707808932	0.01942941927627511	0.8731597481920417	26	2231	Observed Xiao 2021	0.062388751095595676	0.6078929928547256	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.17572565381615213	-0.0035341272128843497	0.19213917695421975	0.7365737471316505	0.8731597481920417	0.6794098155435169
Nyctereutes procyonoides	raccoon dog	Mammalia	12-Jan-2020	-0.031084315878415942	0.7983763159944938	-0.058783571596770195	0.6288249052924841	51	40950	Observed Xiao 2021	-0.03569392344909033	0.7692522585489665	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.09311169818385799	0.007448820857269237	0.09160013431861543	0.7983763159944938	0.6738022099383641	0.7692522585489665
