location,source,byDate,nbCases
East|11|42,CCDC,NA,1
East|2|1,CCDC,NA,1
East|3|7,CCDC,NA,1
East|7|15-17,CCDC,NA,1
East|7|3,CCDC,NA,1
West|11|15,CCDC,NA,1
West|11|17,CCDC,NA,1
West|11|25,CCDC,NA,1
West|12|21,CCDC,NA,1
West|13|26,CCDC,NA,1
West|13|X2-1,CCDC,NA,3
West|13|X5,CCDC,NA,1
West|15|15,CCDC,NA,1
West|15|44,CCDC,NA,1
West|4|2-4,CCDC,NA,1
West|4|24,CCDC,NA,1
West|4|26-28,CCDC,NA,1
West|4|6,CCDC,NA,1
West|4|X2,CCDC,NA,1
West|4|X4-X6,CCDC,NA,1
West|5|6-8,CCDC,NA,3
West|7|26-28,CCDC,NA,1
West|7|5-7,CCDC,NA,1
West|8|2-4-1-3,CCDC,NA,1
West|9|21,CCDC,NA,1
West|Back Street|14,CCDC,NA,1
West|Back Street|2,CCDC,NA,1
East|2|1,MK,2019-12-31,1
East|3|7,MK,2019-12-31,1
East|7|15-17,MK,2019-12-31,1
East|8|19,MK,2019-12-31,1
East|9|46,MK,2019-12-31,1
West|1|X3-X5,MK,2019-12-31,1
West|10|13,MK,2019-12-31,1
West|10|22,MK,2019-12-31,3
West|11|15,MK,2019-12-31,1
West|11|17,MK,2019-12-31,1
West|11|22,MK,2019-12-31,1
West|11|25,MK,2019-12-31,2
West|12|21,MK,2019-12-31,1
West|13|26,MK,2019-12-31,1
West|13|X2-1,MK,2019-12-31,4
West|13|X5,MK,2019-12-31,1
West|15|12,MK,2019-12-31,1
West|15|15,MK,2019-12-31,1
West|15|35,MK,2019-12-31,1
West|15|44,MK,2019-12-31,2
West|2|14,MK,2019-12-31,1
West|2|15,MK,2019-12-31,1
West|2|18,MK,2019-12-31,1
West|2|5-7,MK,2019-12-31,2
West|3|6,MK,2019-12-31,1
West|4|16-18,MK,2019-12-31,2
West|4|2-4,MK,2019-12-31,2
West|4|24,MK,2019-12-31,1
West|4|26-28,MK,2019-12-31,1
West|4|6,MK,2019-12-31,1
West|4|X1,MK,2019-12-31,1
West|4|X2,MK,2019-12-31,1
West|4|X4-X6,MK,2019-12-31,1
West|5|6-8,MK,2019-12-31,3
West|6|22-24,MK,2019-12-31,1
West|7|1-3,MK,2019-12-31,1
West|7|15-17,MK,2019-12-31,1
West|7|26-28,MK,2019-12-31,2
West|7|5-7,MK,2019-12-31,4
West|8|2-4-1-3,MK,2019-12-31,2
West|8|26-28,MK,2019-12-31,1
West|9|21,MK,2019-12-31,1
West|Back Street|14,MK,2019-12-31,1
West|Back Street|2,MK,2019-12-31,1
East|11|42,WHO,2019-12-31,1
East|2|1,WHO,2019-12-31,1
East|3|7,WHO,2019-12-31,1
East|7|15-17,WHO,2019-12-31,1
East|7|3,WHO,2019-12-31,1
West|11|15,WHO,2019-12-31,1
West|11|17,WHO,2019-12-31,1
West|11|25,WHO,2019-12-31,1
West|12|21,WHO,2019-12-31,1
West|13|26,WHO,2019-12-31,1
West|13|X2-1,WHO,2019-12-31,3
West|13|X5,WHO,2019-12-31,1
West|15|15,WHO,2019-12-31,1
West|15|44,WHO,2019-12-31,1
West|4|2-4,WHO,2019-12-31,1
West|4|24,WHO,2019-12-31,1
West|4|26-28,WHO,2019-12-31,1
West|4|6,WHO,2019-12-31,1
West|4|X2,WHO,2019-12-31,1
West|4|X4-X6,WHO,2019-12-31,1
West|5|6-8,WHO,2019-12-31,2
West|7|26-28,WHO,2019-12-31,1
West|7|5-7,WHO,2019-12-31,1
West|8|2-4-1-3,WHO,2019-12-31,1
West|9|21,WHO,2019-12-31,1
West|Back Street|14,WHO,2019-12-31,1
West|Back Street|2,WHO,2019-12-31,1
West|2|14,MK,2019-12-15,1
West|6|22-24,MK,2019-12-15,1
West|7|15-17,MK,2019-12-15,1
West|7|5-7,MK,2019-12-15,2
West|7|26-28,MK,2019-12-15,2
West|8|26-28,MK,2019-12-15,1
West|10|22,MK,2019-12-15,1
West|12|21,MK,2019-12-15,1
West|12|21,WHO,2019-12-13,1
West|12|21,WHO,2019-12-20,1
West|7|5-7,WHO,2019-12-20,1
West|5|6-8,WHO,2019-12-20,1
West|15|15,WHO,2019-12-20,1
West|13|X2-1,WHO,2019-12-20,2
West|Back Street|2,WHO,2019-12-20,1
East|11|42,WHO,2019-12-27,1
East|2|1,WHO,2019-12-27,1
East|3|7,WHO,2019-12-27,1
East|7|15-17,WHO,2019-12-27,1
East|7|3,WHO,2019-12-27,1
West|11|15,WHO,2019-12-27,1
West|11|17,WHO,2019-12-27,1
West|11|25,WHO,2019-12-27,1
West|12|21,WHO,2019-12-27,1
West|13|26,WHO,2019-12-27,1
West|13|X2-1,WHO,2019-12-27,3
West|13|X5,WHO,2019-12-27,1
West|15|15,WHO,2019-12-27,1
West|15|44,WHO,2019-12-27,1
West|4|24,WHO,2019-12-27,1
West|4|26-28,WHO,2019-12-27,1
West|4|6,WHO,2019-12-27,1
West|4|X4-X6,WHO,2019-12-27,1
West|5|6-8,WHO,2019-12-27,2
West|7|26-28,WHO,2019-12-27,1
West|7|5-7,WHO,2019-12-27,1
West|9|21,WHO,2019-12-27,1
West|Back Street|2,WHO,2019-12-27,1
